Crop,State,District,Soil,Season,SowingMonth,MinTemp,MaxTemp,SoilPHMin,SoilPHMax,MinRainfall,MaxRainfall
Bajara,Andhra Pradesh,ANANTAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,EAST GODAVARI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,CHITTOOR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,GUNTUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,KADAPA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,KURNOOL,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,PRAKASAM,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,SPSR NELLORE,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,SRIKAKULAM,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,VISAKHAPATANAM,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Andhra Pradesh,VIZIANAGARAM,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Bihar,BHAGALPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Bihar,BHOJPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Bihar,BUXAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Bihar,KATIHAR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Bihar,SIWAN,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,AHMADABAD,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,AMRELI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,ANAND,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,ARAVALLI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,BANAS KANTHA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,BHAVNAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,BOTAD,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,DEVBHUMI DWARKA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,GANDHINAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,GIR SOMNATH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,JAMNAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,JUNAGADH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,KACHCHH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,KHEDA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,MAHESANA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,MAHISAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,MORBI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,NARMADA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,PANCH MAHALS,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,PATAN,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,RAJKOT,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,SABAR KANTHA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,SURAT,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,SURENDRANAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Gujarat,VADODARA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,BILASPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,HAMIRPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,KANGRA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,MANDI,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,SHIMLA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Himachal Pradesh,SIRMAUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Karnataka,BAGALKOT,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BANGALORE RURAL,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BELGAUM,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BELLARY,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BENGALURU URBAN,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BIDAR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,BIJAPUR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,CHAMARAJANAGAR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,CHIKBALLAPUR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,CHIKMAGALUR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,CHITRADURGA,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,DAKSHIN KANNAD,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,DAVANGERE,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,DHARWAD,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,GADAG,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,GULBARGA,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,HASSAN,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,HAVERI,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,KOLAR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,KOPPAL,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,MANDYA,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,MYSORE,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,RAICHUR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,RAMANAGARA,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,SHIMOGA,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,TUMKUR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,UTTAR KANNAD,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Karnataka,YADGIR,Black Cotton Soil,Kharif,July,20,30,7,8,400,750
Bajara,Madhya Pradesh,AGAR MALWA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,ALIRAJPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,ANUPPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,ASHOKNAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BALAGHAT,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BARWANI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BETUL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BHIND,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BHOPAL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,BURHANPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,CHHATARPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,CHHINDWARA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DATIA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DEWAS,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,DHAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,GUNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,GWALIOR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,HARDA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,HOSHANGABAD,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,INDORE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,JABALPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,JHABUA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,KHANDWA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,KHARGONE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MANDLA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MANDSAUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,MORENA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,NARSINGHPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,NEEMUCH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,PANNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RAISEN,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RAJGARH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,RATLAM,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,REWA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SAGAR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SATNA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SEHORE,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SEONI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHAHDOL,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHAJAPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHEOPUR,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SHIVPURI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SIDHI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,SINGRAULI,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,TIKAMGARH,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,UJJAIN,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,UMARIA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Madhya Pradesh,VIDISHA,Black Cotton Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,DIMAPUR,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,KIPHIRE,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
Bajara,Nagaland,KOHIMA,Sandy Loamy Soil,Kharif,June,20,30,7,8,400,750
